titulo_original,categoria_original,json_llm_bruto,json_limpo_python,nome_canonico_final
Battery Grip Bg-e2n P/ Eos 20d/30d/40d/50d *original*,CAMERA_BATTERY_GRIPS,"{""marca"": ""Canon"", ""modelo"": ""Bg-e2n"", ""tipo_produto"": ""battery grip"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""original, compatível com eos 20d/30d/40d/50d""}","{""marca"": ""Canon"", ""modelo"": ""bg-e2n"", ""tipo_produto"": ""battery grip"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""original, compatível com eos 20d/30d/40d/50d""}","battery grip | Canon | bg-e2n | original, compatível com eos 20d/30d/40d/50d"
Material De Espionagem Profissional Micro Câmeras 16gb Ga7,SURVEILLANCE_CAMERAS,"{""marca"": null, ""modelo"": ""Ga7"", ""tipo_produto"": ""micro câmera"", ""capacidade_volume"": ""16gb"", ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""profissional, material de espionagem""}","{""marca"": null, ""modelo"": ""ga7"", ""tipo_produto"": ""micro câmera"", ""capacidade_volume"": ""16gb"", ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""profissional, material de espionagem""}","micro câmera | ga7 | 16gb | profissional, material de espionagem"
Bebedouro Compressor Masterfrio Fresh 110v,WATER_DISPENSERS,"{""marca"": ""Masterfrio"", ""modelo"": ""Fresh"", ""tipo_produto"": ""bebedouro"", ""capacidade_volume"": null, ""voltagem"": ""110v"", ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""compressor""}","{""marca"": ""Masterfrio"", ""modelo"": ""fresh"", ""tipo_produto"": ""bebedouro"", ""capacidade_volume"": null, ""voltagem"": ""110v"", ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""compressor""}",bebedouro | Masterfrio | fresh | 110v | compressor
Conjunto Social  Infantil Pajem Camisa Colete Gravata,SUITS,"{""marca"": null, ""modelo"": null, ""tipo_produto"": ""conjunto social infantil"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": ""kit 3 peças"", ""outros_atributos"": ""pajem, camisa, colete, gravata""}","{""marca"": null, ""modelo"": null, ""tipo_produto"": ""conjunto social infantil"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": ""kit 3 peças"", ""outros_atributos"": ""pajem, camisa, colete, gravata""}","conjunto social infantil | kit 3 peças | pajem, camisa, colete, gravata"
Lancheira Térmica Infantil Minnie 19m,LUNCHBOXES,"{""marca"": null, ""modelo"": ""Minnie"", ""tipo_produto"": ""lancheira térmica"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""infantil, 19m""}","{""marca"": null, ""modelo"": ""minnie"", ""tipo_produto"": ""lancheira térmica"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""infantil, 19m""}","lancheira térmica | minnie | infantil, 19m"
Espremedor De Frutas Nectar 100 Vermelho Philco 220v Dj,SQUEEZERS,"{""marca"": ""Philco"", ""modelo"": ""Nectar 100"", ""tipo_produto"": ""espremedor de frutas"", ""capacidade_volume"": null, ""voltagem"": ""220v"", ""cor"": ""vermelho"", ""material"": null, ""quantidade"": null, ""outros_atributos"": ""dj""}","{""marca"": ""Philco"", ""modelo"": ""nectar 100"", ""tipo_produto"": ""espremedor de frutas"", ""capacidade_volume"": null, ""voltagem"": ""220v"", ""cor"": ""vermelho"", ""material"": null, ""quantidade"": null, ""outros_atributos"": ""dj""}",espremedor de frutas | Philco | nectar 100 | 220v | vermelho | dj
Placa Principal *sucata* 55uj7500 Ebt64494101 Eax67146203,TELEVISION_MAIN_PLATE_REPLACEMENTS,"{""marca"": ""Lg"", ""modelo"": ""55uj7500"", ""tipo_produto"": ""placa principal"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""sucata, ebt64494101, eax67146203""}","{""marca"": ""Lg"", ""modelo"": ""55uj7500"", ""tipo_produto"": ""placa principal"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""sucata, ebt64494101, eax67146203""}","placa principal | Lg | 55uj7500 | sucata, ebt64494101, eax67146203"
Velocímetro Relogio Original Rpm Pulseira Vermelha Led Novo,WRISTWATCHES,"{""marca"": null, ""modelo"": null, ""tipo_produto"": ""velocímetro"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": ""vermelha"", ""material"": null, ""quantidade"": null, ""outros_atributos"": ""relogio, rpm, pulseira, led, novo""}","{""marca"": null, ""modelo"": null, ""tipo_produto"": ""velocímetro"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": ""vermelha"", ""material"": null, ""quantidade"": null, ""outros_atributos"": ""relogio, rpm, pulseira, led, novo""}","velocímetro | vermelha | relogio, rpm, pulseira, led, novo"
Luz De Placa Renault Master 2013 A 2016,CAR_AC_DASHBOARD_VENTS,"{""marca"": ""Renault"", ""modelo"": ""Master"", ""tipo_produto"": ""luz de placa"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""ano 2013 a 2016""}","{""marca"": ""Renault"", ""modelo"": ""master"", ""tipo_produto"": ""luz de placa"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""ano 2013 a 2016""}",luz de placa | Renault | master | ano 2013 a 2016
3 Vinilica Fosca 220ml + 1 Retardador 900ml + 1 Rodo 15cm,SCREEN_PRINTING_KITS,"{""marca"": null, ""modelo"": null, ""tipo_produto"": ""kit de pintura"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": ""kit 5 peças"", ""outros_atributos"": ""3 vinilica fosca 220ml, 1 retardador 900ml, 1 rodo 15cm""}","{""marca"": null, ""modelo"": null, ""tipo_produto"": ""kit de pintura"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": ""kit 5 peças"", ""outros_atributos"": ""3 vinilica fosca 220ml, 1 retardador 900ml, 1 rodo 15cm""}","kit de pintura | kit 5 peças | 3 vinilica fosca 220ml, 1 retardador 900ml, 1 rodo 15cm"
Kit 15 Pares Meia Cano Médio Cinza Masculina M12 Em Até 12x,SOCKS,"{""marca"": null, ""modelo"": ""M12"", ""tipo_produto"": ""meia"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": ""cinza"", ""material"": null, ""quantidade"": ""kit 15 pares"", ""outros_atributos"": ""cano médio, masculina""}","{""marca"": null, ""modelo"": ""m12"", ""tipo_produto"": ""meia"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": ""cinza"", ""material"": null, ""quantidade"": ""kit 15 pares"", ""outros_atributos"": ""cano médio, masculina""}","meia | m12 | cinza | kit 15 pares | cano médio, masculina"
Paleta Perfect Mix Beauty Glazed + Brinde,EYESHADOWS,"{""marca"": ""Beauty Glazed"", ""modelo"": ""Perfect Mix"", ""tipo_produto"": ""paleta de maquiagem"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""com brinde""}","{""marca"": ""Beauty Glazed"", ""modelo"": ""perfect mix"", ""tipo_produto"": ""paleta de maquiagem"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""com brinde""}",paleta de maquiagem | Beauty Glazed | perfect mix | com brinde
Araras Expositor Rt De Painel 10 Unidades Branco ,JEWELRY_DISPLAYS,"{""marca"": null, ""modelo"": ""rt de painel"", ""tipo_produto"": ""arara expositora"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": ""branco"", ""material"": null, ""quantidade"": ""10 unidades"", ""outros_atributos"": null}","{""marca"": null, ""modelo"": ""rt de painel"", ""tipo_produto"": ""arara expositora"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": ""branco"", ""material"": null, ""quantidade"": ""10 unidades"", ""outros_atributos"": null}",arara expositora | rt de painel | branco | 10 unidades
Controle Remoto + Suporte Ar Condicionado Lg Original ,AIR_CONDITIONER_REMOTE_CONTROLS,"{""marca"": ""Lg"", ""modelo"": null, ""tipo_produto"": ""controle remoto"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": ""kit 2 peças"", ""outros_atributos"": ""com suporte, original""}","{""marca"": ""Lg"", ""modelo"": null, ""tipo_produto"": ""controle remoto"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": ""kit 2 peças"", ""outros_atributos"": ""com suporte, original""}","controle remoto | Lg | kit 2 peças | com suporte, original"
Fogão Semi Industrial Uma Boca ,CAMPING_STOVES,"{""marca"": null, ""modelo"": null, ""tipo_produto"": ""fogão"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": ""1 boca"", ""outros_atributos"": ""semi industrial""}","{""marca"": null, ""modelo"": null, ""tipo_produto"": ""fogão"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": ""1 boca"", ""outros_atributos"": ""semi industrial""}",fogão | 1 boca | semi industrial
Kit 4  Cola Epóxi Liquido Transparente 10min 16g/ 10minutos,SCHOOL_AND_OFFICE_GLUES,"{""marca"": null, ""modelo"": null, ""tipo_produto"": ""cola epóxi"", ""capacidade_volume"": ""16g"", ""voltagem"": null, ""cor"": ""transparente"", ""material"": null, ""quantidade"": ""kit 4 peças"", ""outros_atributos"": ""10min""}","{""marca"": null, ""modelo"": null, ""tipo_produto"": ""cola epóxi"", ""capacidade_volume"": ""16g"", ""voltagem"": null, ""cor"": ""transparente"", ""material"": null, ""quantidade"": ""kit 4 peças"", ""outros_atributos"": ""10min""}",cola epóxi | 16g | transparente | kit 4 peças | 10min
Furadeira 1/2  Impacto 127v Gsb 550 Re+14brocas Bosch,ELECTRIC_DRILLS,"{""marca"": ""Bosch"", ""modelo"": ""Gsb 550 Re"", ""tipo_produto"": ""furadeira"", ""capacidade_volume"": null, ""voltagem"": ""110v"", ""cor"": null, ""material"": null, ""quantidade"": ""kit 14 brocas"", ""outros_atributos"": ""impacto, 1/2""}","{""marca"": ""Bosch"", ""modelo"": ""gsb 550 re"", ""tipo_produto"": ""furadeira"", ""capacidade_volume"": null, ""voltagem"": ""110v"", ""cor"": null, ""material"": null, ""quantidade"": ""kit 14 brocas"", ""outros_atributos"": ""impacto, 1/2""}","furadeira | Bosch | gsb 550 re | 110v | kit 14 brocas | impacto, 1/2"
Colete Infantil G 6 A 10 Anos,MOTORCYCLE_CHEST_PROTECTORS,"{""marca"": null, ""modelo"": null, ""tipo_produto"": ""colete"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""infantil, tamanho g, 6 a 10 anos""}","{""marca"": null, ""modelo"": null, ""tipo_produto"": ""colete"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""infantil, tamanho g, 6 a 10 anos""}","colete | infantil, tamanho g, 6 a 10 anos"
"Cimento Queimado Quartzolit  - Azul Urbano - 4,5kg - Kit 3un",TILE_AND_CLADDING_ADHESIVE_MIXTURES,"{""marca"": ""Quartzolit"", ""modelo"": null, ""tipo_produto"": ""cimento queimado"", ""capacidade_volume"": ""4,5kg"", ""voltagem"": null, ""cor"": ""azul urbano"", ""material"": null, ""quantidade"": ""kit 3un"", ""outros_atributos"": null}","{""marca"": ""Quartzolit"", ""modelo"": null, ""tipo_produto"": ""cimento queimado"", ""capacidade_volume"": ""4.5kg"", ""voltagem"": null, ""cor"": ""azul urbano"", ""material"": null, ""quantidade"": ""kit 3un"", ""outros_atributos"": null}",cimento queimado | Quartzolit | 4.5kg | azul urbano | kit 3un
Pênis Realístico Em Borracha Glande Vibrador Interno 30cm,DILDOS,"{""marca"": null, ""modelo"": null, ""tipo_produto"": ""pênis realístico"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": ""borracha"", ""quantidade"": null, ""outros_atributos"": ""glande, vibrador interno, 30cm""}","{""marca"": null, ""modelo"": null, ""tipo_produto"": ""pênis realístico"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": ""borracha"", ""quantidade"": null, ""outros_atributos"": ""glande, vibrador interno, 30cm""}","pênis realístico | borracha | glande, vibrador interno, 30cm"
Par Jogo Fixaçao Barra Estabilizadora Dianteira Polo Classic,SWAY_BARS,"{""marca"": null, ""modelo"": ""Polo Classic"", ""tipo_produto"": ""jogo de fixação"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": ""par"", ""outros_atributos"": ""barra estabilizadora dianteira""}","{""marca"": null, ""modelo"": ""polo classic"", ""tipo_produto"": ""jogo de fixação"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": ""par"", ""outros_atributos"": ""barra estabilizadora dianteira""}",jogo de fixação | polo classic | par | barra estabilizadora dianteira
Parafusadeira Manual Brp 3.6v Br Motors,ELECTRIC_SCREWDRIVERS,"{""marca"": ""Br Motors"", ""modelo"": ""Brp"", ""tipo_produto"": ""parafusadeira"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""3.6v, manual""}","{""marca"": ""Br Motors"", ""modelo"": ""brp"", ""tipo_produto"": ""parafusadeira"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""3.6v, manual""}","parafusadeira | Br Motors | brp | 3.6v, manual"
Cabeçote Gm Cruze 1.8 16v Frete Gratis Aloj Tucho 31.70,AUTOMOTIVE_ENGINE_CYLINDER_HEADS,"{""marca"": ""Gm"", ""modelo"": ""Cruze 1.8 16v"", ""tipo_produto"": ""cabeçote"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""alojamento de tucho 31.70, frete grátis""}","{""marca"": ""Gm"", ""modelo"": ""cruze 1.8 16v"", ""tipo_produto"": ""cabeçote"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""alojamento de tucho 31.70, frete grátis""}","cabeçote | Gm | cruze 1.8 16v | alojamento de tucho 31.70, frete grátis"
Kit 2 Pneus 175/70 R13 82t R1l - Uno 2007 2008 2009,AUTOMOTIVE_TIRES,"{""marca"": null, ""modelo"": ""175/70 r13 82t r1l"", ""tipo_produto"": ""pneu"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": ""kit 2 peças"", ""outros_atributos"": ""compatível com uno 2007 2008 2009""}","{""marca"": null, ""modelo"": ""175/70 r13 82t r1l"", ""tipo_produto"": ""pneu"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": ""kit 2 peças"", ""outros_atributos"": ""compatível com uno 2007 2008 2009""}",pneu | 175/70 r13 82t r1l | kit 2 peças | compatível com uno 2007 2008 2009
Pneu 205/60r15 Bridgestone Dueler Revo2 91h 12 X Sem Juros,AUTOMOTIVE_TIRES,"{""marca"": ""Bridgestone"", ""modelo"": ""Dueler Revo2"", ""tipo_produto"": ""pneu"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""205/60r15, 91h""}","{""marca"": ""Bridgestone"", ""modelo"": ""dueler revo2"", ""tipo_produto"": ""pneu"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""205/60r15, 91h""}","pneu | Bridgestone | dueler revo2 | 205/60r15, 91h"
Mangueira De Irrigação Por Gotejamento Irritec - 160 Metros,GARDEN_HOSES,"{""marca"": ""Irritec"", ""modelo"": null, ""tipo_produto"": ""mangueira de irrigação"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""gotejamento, 160 metros""}","{""marca"": ""Irritec"", ""modelo"": null, ""tipo_produto"": ""mangueira de irrigação"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""gotejamento, 160 metros""}","mangueira de irrigação | Irritec | gotejamento, 160 metros"
Creme Hidratante Para Os Pés,HAND_AND_FOOT_CREAMS,"{""marca"": null, ""modelo"": null, ""tipo_produto"": ""creme hidratante"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""para os pés""}","{""marca"": null, ""modelo"": null, ""tipo_produto"": ""creme hidratante"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""para os pés""}",creme hidratante | para os pés
"Carburador Dafra Speed 150,kansas 150 Comet 1 Linha",MOTORCYCLE_CARBURETORS,"{""marca"": ""Dafra"", ""modelo"": ""Speed 150, Kansas 150, Comet"", ""tipo_produto"": ""carburador"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""1 linha""}","{""marca"": ""Dafra"", ""modelo"": ""speed 150, kansas 150, comet"", ""tipo_produto"": ""carburador"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""1 linha""}","carburador | Dafra | speed 150, kansas 150, comet | 1 linha"
"Soprador Radial 0,6cv",ELECTRIC_BLOWERS,"{""marca"": null, ""modelo"": null, ""tipo_produto"": ""soprador radial"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""0,6cv""}","{""marca"": null, ""modelo"": null, ""tipo_produto"": ""soprador radial"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""0,6cv""}","soprador radial | 0,6cv"
Teclado Arranjador Yamaha Psrew300 Com Fonte + Capa Ew300,MUSICAL_KEYBOARDS,"{""marca"": ""Yamaha"", ""modelo"": ""Psrew300"", ""tipo_produto"": ""teclado arranjador"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""com fonte, com capa, ew300""}","{""marca"": ""Yamaha"", ""modelo"": ""psrew300"", ""tipo_produto"": ""teclado arranjador"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""com fonte, com capa, ew300""}","teclado arranjador | Yamaha | psrew300 | com fonte, com capa, ew300"
Longboard Globe Catalina Quase Novo!,LONGBOARDS,"{""marca"": ""Globe"", ""modelo"": ""Catalina"", ""tipo_produto"": ""longboard"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""quase novo""}","{""marca"": ""Globe"", ""modelo"": ""catalina"", ""tipo_produto"": ""longboard"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""quase novo""}",longboard | Globe | catalina | quase novo
Caneca Moscow Mule Cobre 350 Ml Alçaq Chata 40 Unid M A,MUGS,"{""marca"": null, ""modelo"": null, ""tipo_produto"": ""caneca"", ""capacidade_volume"": ""350ml"", ""voltagem"": null, ""cor"": ""cobre"", ""material"": ""cobre"", ""quantidade"": ""40 unidades"", ""outros_atributos"": ""alça chata""}","{""marca"": null, ""modelo"": null, ""tipo_produto"": ""caneca"", ""capacidade_volume"": ""350ml"", ""voltagem"": null, ""cor"": ""cobre"", ""material"": ""cobre"", ""quantidade"": ""40 unidades"", ""outros_atributos"": ""alça chata""}",caneca | 350ml | cobre | cobre | 40 unidades | alça chata
Kit Gabinete Com Cuba E Espelho Compace Branco/vermont Oak,BATHROOM_VANITIES,"{""marca"": ""Compace"", ""modelo"": null, ""tipo_produto"": ""gabinete"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": ""branco/vermont oak"", ""material"": null, ""quantidade"": ""kit"", ""outros_atributos"": ""com cuba e espelho""}","{""marca"": ""Compace"", ""modelo"": null, ""tipo_produto"": ""gabinete"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": ""branco/vermont oak"", ""material"": null, ""quantidade"": ""kit"", ""outros_atributos"": ""com cuba e espelho""}",gabinete | Compace | branco/vermont oak | kit | com cuba e espelho
