titulo_original,titulo_pre_norm,categoria_original,json_llm_bruto,json_limpo_python,nome_canonico_final
Battery Grip Bg-e2n P/ Eos 20d/30d/40d/50d *original*,Battery Grip Bg-e2n P/ Eos 20d/30d/40d/50d *original*,CAMERA_BATTERY_GRIPS,"{""idx"": 10, ""marca"": ""Canon"", ""modelo"": ""Bg-e2n"", ""tipo_produto"": ""battery grip"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""original, compatível com eos 20d/30d/40d/50d""}","{""marca"": ""Canon"", ""modelo"": ""bg-e2n"", ""tipo_produto"": ""battery grip"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""original, compatível com eos 20d/30d/40d/50d""}","battery grip | Canon | bg-e2n | original, compatível com eos 20d/30d/40d/50d"
Material De Espionagem Profissional Micro Câmeras 16gb Ga7,Material De Espionagem Profissional Micro Câmeras 16gb Ga7,SURVEILLANCE_CAMERAS,"{""idx"": 11, ""marca"": null, ""modelo"": ""Ga7"", ""tipo_produto"": ""câmera de segurança"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""16gb, micro câmera, profissional""}","{""marca"": null, ""modelo"": ""ga7"", ""tipo_produto"": ""câmera de segurança"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""16gb, micro câmera, profissional""}","câmera de segurança | ga7 | 16gb, micro câmera, profissional"
Bebedouro Compressor Masterfrio Fresh 110v,Bebedouro Compressor Masterfrio Fresh 110v,WATER_DISPENSERS,"{""idx"": 12, ""marca"": ""Masterfrio"", ""modelo"": ""Fresh"", ""tipo_produto"": ""bebedouro"", ""capacidade_volume"": null, ""voltagem"": ""110v"", ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""compressor""}","{""marca"": ""Masterfrio"", ""modelo"": ""fresh"", ""tipo_produto"": ""bebedouro"", ""capacidade_volume"": null, ""voltagem"": ""110v"", ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""compressor""}",bebedouro | Masterfrio | fresh | 110v | compressor
Conjunto Social  Infantil Pajem Camisa Colete Gravata,Conjunto Social Infantil Pajem Camisa Colete Gravata,SUITS,"{""idx"": 13, ""marca"": null, ""modelo"": null, ""tipo_produto"": ""conjunto social"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": ""kit 4 peças"", ""outros_atributos"": ""infantil, pajem, camisa, colete, gravata""}","{""marca"": null, ""modelo"": null, ""tipo_produto"": ""conjunto social"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": ""kit 4 peças"", ""outros_atributos"": ""infantil, pajem, camisa, colete, gravata""}","conjunto social | kit 4 peças | infantil, pajem, camisa, colete, gravata"
Lancheira Térmica Infantil Minnie 19m,Lancheira Térmica Infantil Minnie 19m,LUNCHBOXES,"{""idx"": 14, ""marca"": ""Disney"", ""modelo"": ""Minnie"", ""tipo_produto"": ""lancheira"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""térmica, infantil, 19m""}","{""marca"": ""Disney"", ""modelo"": ""minnie"", ""tipo_produto"": ""lancheira"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""térmica, infantil, 19m""}","lancheira | Disney | minnie | térmica, infantil, 19m"
Espremedor De Frutas Nectar 100 Vermelho Philco 220v Dj,Espremedor De Frutas Nectar 100 Vermelho Philco 220v Dj,SQUEEZERS,"{""idx"": 15, ""marca"": ""Philco"", ""modelo"": ""Nectar 100"", ""tipo_produto"": ""espremedor de frutas"", ""capacidade_volume"": null, ""voltagem"": ""220v"", ""cor"": ""vermelho"", ""material"": null, ""quantidade"": null, ""outros_atributos"": ""dj""}","{""marca"": ""Philco"", ""modelo"": ""nectar 100"", ""tipo_produto"": ""espremedor de frutas"", ""capacidade_volume"": null, ""voltagem"": ""220v"", ""cor"": ""vermelho"", ""material"": null, ""quantidade"": null, ""outros_atributos"": ""dj""}",espremedor de frutas | Philco | nectar 100 | 220v | vermelho | dj
Placa Principal *sucata* 55uj7500 Ebt64494101 Eax67146203,Placa Principal *sucata* 55uj7500 Ebt64494101 Eax67146203,TELEVISION_MAIN_PLATE_REPLACEMENTS,"{""idx"": 16, ""marca"": null, ""modelo"": ""55uj7500"", ""tipo_produto"": ""placa principal"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""sucata, ebt64494101, eax67146203""}","{""marca"": null, ""modelo"": ""55uj7500"", ""tipo_produto"": ""placa principal"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""sucata, ebt64494101, eax67146203""}","placa principal | 55uj7500 | sucata, ebt64494101, eax67146203"
Velocímetro Relogio Original Rpm Pulseira Vermelha Led Novo,Velocímetro Relogio Original Rpm Pulseira Vermelha Led Novo,WRISTWATCHES,"{""idx"": 17, ""marca"": null, ""modelo"": null, ""tipo_produto"": ""relógio"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": ""vermelha"", ""material"": null, ""quantidade"": null, ""outros_atributos"": ""velocímetro, rpm, led""}","{""marca"": null, ""modelo"": null, ""tipo_produto"": ""relógio"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": ""vermelha"", ""material"": null, ""quantidade"": null, ""outros_atributos"": ""velocímetro, rpm, led""}","relógio | vermelha | velocímetro, rpm, led"
Luz De Placa Renault Master 2013 A 2016,Luz De Placa Renault Master 2013 A 2016,CAR_AC_DASHBOARD_VENTS,"{""idx"": 18, ""marca"": ""Renault"", ""modelo"": ""Master"", ""tipo_produto"": ""luz de placa"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""ano 2013 a 2016""}","{""marca"": ""Renault"", ""modelo"": ""master"", ""tipo_produto"": ""luz de placa"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""ano 2013 a 2016""}",luz de placa | Renault | master | ano 2013 a 2016
3 Vinilica Fosca 220ml + 1 Retardador 900ml + 1 Rodo 15cm,3 Vinilica Fosca 220ml + 1 Retardador 900ml + 1 Rodo 15cm,SCREEN_PRINTING_KITS,"{""idx"": 19, ""marca"": null, ""modelo"": null, ""tipo_produto"": ""kit de serigrafia"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": ""fosca"", ""material"": ""vinilica"", ""quantidade"": ""kit 5 peças"", ""outros_atributos"": ""3 vinilica 220ml, 1 retardador 900ml, 1 rodo 15cm""}","{""marca"": null, ""modelo"": null, ""tipo_produto"": ""kit de serigrafia"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": ""fosca"", ""material"": ""vinilica"", ""quantidade"": ""kit 5 peças"", ""outros_atributos"": ""3 vinilica 220ml, 1 retardador 900ml, 1 rodo 15cm""}","kit de serigrafia | fosca | vinilica | kit 5 peças | 3 vinilica 220ml, 1 retardador 900ml, 1 rodo 15cm"
Kit 15 Pares Meia Cano Médio Cinza Masculina M12 Em Até 12x,Kit 15 Pares Meia Cano Médio Cinza Masculina M12 Em Até 12x,SOCKS,"{""idx"": 20, ""marca"": null, ""modelo"": ""m12"", ""tipo_produto"": ""meia"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": ""cinza"", ""material"": null, ""quantidade"": ""kit 15 pares"", ""outros_atributos"": ""cano médio, masculina""}","{""marca"": null, ""modelo"": ""m12"", ""tipo_produto"": ""meia"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": ""cinza"", ""material"": null, ""quantidade"": ""kit 15 pares"", ""outros_atributos"": ""cano médio, masculina""}","meia | m12 | cinza | kit 15 pares | cano médio, masculina"
Paleta Perfect Mix Beauty Glazed + Brinde,Paleta Perfect Mix Beauty Glazed + Brinde,EYESHADOWS,"{""idx"": 21, ""marca"": ""Beauty Glazed"", ""modelo"": ""perfect mix"", ""tipo_produto"": ""paleta de sombras"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""brinde""}","{""marca"": ""Beauty Glazed"", ""modelo"": ""perfect mix"", ""tipo_produto"": ""paleta de sombras"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""brinde""}",paleta de sombras | Beauty Glazed | perfect mix | brinde
Araras Expositor Rt De Painel 10 Unidades Branco ,Araras Expositor Rt De Painel 10 Unidades Branco,JEWELRY_DISPLAYS,"{""idx"": 22, ""marca"": null, ""modelo"": null, ""tipo_produto"": ""arara expositora"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": ""branco"", ""material"": null, ""quantidade"": ""10 unidades"", ""outros_atributos"": ""rt de painel""}","{""marca"": null, ""modelo"": null, ""tipo_produto"": ""arara expositora"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": ""branco"", ""material"": null, ""quantidade"": ""10 unidades"", ""outros_atributos"": ""rt de painel""}",arara expositora | branco | 10 unidades | rt de painel
Controle Remoto + Suporte Ar Condicionado Lg Original ,Controle Remoto + Suporte Ar Condicionado Lg Original,AIR_CONDITIONER_REMOTE_CONTROLS,"{""idx"": 23, ""marca"": ""Lg"", ""modelo"": null, ""tipo_produto"": ""controle remoto"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""suporte, original, para ar condicionado""}","{""marca"": ""Lg"", ""modelo"": null, ""tipo_produto"": ""controle remoto"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""suporte, original, para ar condicionado""}","controle remoto | Lg | suporte, original, para ar condicionado"
Fogão Semi Industrial Uma Boca ,Fogão Semi Industrial Uma Boca,CAMPING_STOVES,"{""idx"": 24, ""marca"": null, ""modelo"": null, ""tipo_produto"": ""fogão"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": ""1 boca"", ""outros_atributos"": ""semi industrial""}","{""marca"": null, ""modelo"": null, ""tipo_produto"": ""fogão"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": ""1 boca"", ""outros_atributos"": ""semi industrial""}",fogão | 1 boca | semi industrial
Kit 4  Cola Epóxi Liquido Transparente 10min 16g/ 10minutos,Kit 4 Cola Epóxi Liquido Transparente 10min 16g/ 10minutos,SCHOOL_AND_OFFICE_GLUES,"{""idx"": 25, ""marca"": null, ""modelo"": null, ""tipo_produto"": ""cola epóxi"", ""capacidade_volume"": ""16g"", ""voltagem"": null, ""cor"": ""transparente"", ""material"": null, ""quantidade"": ""kit 4 peças"", ""outros_atributos"": ""10 minutos""}","{""marca"": null, ""modelo"": null, ""tipo_produto"": ""cola epóxi"", ""capacidade_volume"": ""16g"", ""voltagem"": null, ""cor"": ""transparente"", ""material"": null, ""quantidade"": ""kit 4 peças"", ""outros_atributos"": ""10 minutos""}",cola epóxi | 16g | transparente | kit 4 peças | 10 minutos
Furadeira 1/2  Impacto 127v Gsb 550 Re+14brocas Bosch,Furadeira 1/2 Impacto 127v Gsb 550 Re+14brocas Bosch,ELECTRIC_DRILLS,"{""idx"": 26, ""marca"": ""Bosch"", ""modelo"": ""Gsb 550 Re"", ""tipo_produto"": ""furadeira"", ""capacidade_volume"": ""1/2"", ""voltagem"": ""110v"", ""cor"": null, ""material"": null, ""quantidade"": ""14 brocas"", ""outros_atributos"": ""impacto""}","{""marca"": ""Bosch"", ""modelo"": ""gsb 550 re"", ""tipo_produto"": ""furadeira"", ""capacidade_volume"": ""1/2"", ""voltagem"": ""110v"", ""cor"": null, ""material"": null, ""quantidade"": ""14 brocas"", ""outros_atributos"": ""impacto""}",furadeira | Bosch | gsb 550 re | 1/2 | 110v | 14 brocas | impacto
Colete Infantil G 6 A 10 Anos,Colete Infantil G 6 A 10 Anos,MOTORCYCLE_CHEST_PROTECTORS,"{""idx"": 27, ""marca"": null, ""modelo"": null, ""tipo_produto"": ""colete"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""infantil, tamanho g, 6 a 10 anos""}","{""marca"": null, ""modelo"": null, ""tipo_produto"": ""colete"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""infantil, tamanho g, 6 a 10 anos""}","colete | infantil, tamanho g, 6 a 10 anos"
"Cimento Queimado Quartzolit  - Azul Urbano - 4,5kg - Kit 3un","Cimento Queimado Quartzolit - Azul Urbano - 4,5kg - Kit 3un",TILE_AND_CLADDING_ADHESIVE_MIXTURES,"{""idx"": 28, ""marca"": ""Quartzolit"", ""modelo"": null, ""tipo_produto"": ""cimento queimado"", ""capacidade_volume"": ""4,5kg"", ""voltagem"": null, ""cor"": ""azul urbano"", ""material"": null, ""quantidade"": ""kit 3 unidades"", ""outros_atributos"": null}","{""marca"": ""Quartzolit"", ""modelo"": null, ""tipo_produto"": ""cimento queimado"", ""capacidade_volume"": ""4.5kg"", ""voltagem"": null, ""cor"": ""azul urbano"", ""material"": null, ""quantidade"": ""kit 3 unidades"", ""outros_atributos"": null}",cimento queimado | Quartzolit | 4.5kg | azul urbano | kit 3 unidades
Pênis Realístico Em Borracha Glande Vibrador Interno 30cm,Pênis Realístico Em Borracha Glande Vibrador Interno 30cm,DILDOS,"{""idx"": 29, ""marca"": null, ""modelo"": null, ""tipo_produto"": ""dildo"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": ""borracha"", ""quantidade"": null, ""outros_atributos"": ""realístico, glande, vibrador interno, 30cm""}","{""marca"": null, ""modelo"": null, ""tipo_produto"": ""dildo"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": ""borracha"", ""quantidade"": null, ""outros_atributos"": ""realístico, glande, vibrador interno, 30cm""}","dildo | borracha | realístico, glande, vibrador interno, 30cm"
Par Jogo Fixaçao Barra Estabilizadora Dianteira Polo Classic,Par Jogo Fixaçao Barra Estabilizadora Dianteira Polo Classic,SWAY_BARS,"{""idx"": 30, ""marca"": null, ""modelo"": ""Polo Classic"", ""tipo_produto"": ""barra estabilizadora"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": ""par"", ""outros_atributos"": ""dianteira""}","{""marca"": null, ""modelo"": ""polo classic"", ""tipo_produto"": ""barra estabilizadora"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": ""par"", ""outros_atributos"": ""dianteira""}",barra estabilizadora | polo classic | par | dianteira
Parafusadeira Manual Brp 3.6v Br Motors,Parafusadeira Manual Brp 3.6v Br Motors,ELECTRIC_SCREWDRIVERS,"{""idx"": 31, ""marca"": ""Br Motors"", ""modelo"": ""Brp"", ""tipo_produto"": ""parafusadeira"", ""capacidade_volume"": null, ""voltagem"": ""3.6v"", ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""manual""}","{""marca"": ""Br Motors"", ""modelo"": ""brp"", ""tipo_produto"": ""parafusadeira"", ""capacidade_volume"": null, ""voltagem"": ""6v"", ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""manual""}",parafusadeira | Br Motors | brp | 6v | manual
Cabeçote Gm Cruze 1.8 16v Frete Gratis Aloj Tucho 31.70,Cabeçote Gm Cruze 1.8 16v Frete Gratis Aloj Tucho 31.70,AUTOMOTIVE_ENGINE_CYLINDER_HEADS,"{""idx"": 32, ""marca"": ""Gm"", ""modelo"": ""Cruze"", ""tipo_produto"": ""cabeçote"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""1.8 16v, aloj tucho 31.70""}","{""marca"": ""Gm"", ""modelo"": ""cruze"", ""tipo_produto"": ""cabeçote"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""1.8 16v, aloj tucho 31.70""}","cabeçote | Gm | cruze | 1.8 16v, aloj tucho 31.70"
Kit 2 Pneus 175/70 R13 82t R1l - Uno 2007 2008 2009,Kit 2 Pneus 175/70 R13 82t R1000ml - Uno 2007 2008 2009,AUTOMOTIVE_TIRES,"{""idx"": 33, ""marca"": null, ""modelo"": ""R1000ml"", ""tipo_produto"": ""pneu"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": ""kit 2 pneus"", ""outros_atributos"": ""175/70 r13 82t""}","{""marca"": null, ""modelo"": ""r1000ml"", ""tipo_produto"": ""pneu"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": ""kit 2 pneus"", ""outros_atributos"": ""175/70 r13 82t""}",pneu | r1000ml | kit 2 pneus | 175/70 r13 82t
Pneu 205/60r15 Bridgestone Dueler Revo2 91h 12 X Sem Juros,Pneu 205/60r15 Bridgestone Dueler Revo2 91h 12 X Sem Juros,AUTOMOTIVE_TIRES,"{""idx"": 34, ""marca"": ""Bridgestone"", ""modelo"": ""Dueler Revo2"", ""tipo_produto"": ""pneu"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""205/60r15 91h""}","{""marca"": ""Bridgestone"", ""modelo"": ""dueler revo2"", ""tipo_produto"": ""pneu"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""205/60r15 91h""}",pneu | Bridgestone | dueler revo2 | 205/60r15 91h
Mangueira De Irrigação Por Gotejamento Irritec - 160 Metros,Mangueira De Irrigação Por Gotejamento Irritec - 160 Metros,GARDEN_HOSES,"{""idx"": 35, ""marca"": ""Irritec"", ""modelo"": null, ""tipo_produto"": ""mangueira de irrigação"", ""capacidade_volume"": ""160 metros"", ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""gotejamento""}","{""marca"": ""Irritec"", ""modelo"": null, ""tipo_produto"": ""mangueira de irrigação"", ""capacidade_volume"": ""160 metros"", ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""gotejamento""}",mangueira de irrigação | Irritec | 160 metros | gotejamento
Creme Hidratante Para Os Pés,Creme Hidratante Para Os Pés,HAND_AND_FOOT_CREAMS,"{""idx"": 36, ""marca"": null, ""modelo"": null, ""tipo_produto"": ""creme hidratante"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""para os pés""}","{""marca"": null, ""modelo"": null, ""tipo_produto"": ""creme hidratante"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""para os pés""}",creme hidratante | para os pés
"Carburador Dafra Speed 150,kansas 150 Comet 1 Linha","Carburador Dafra Speed 150,kansas 150 Comet 1 Linha",MOTORCYCLE_CARBURETORS,"{""idx"": 37, ""marca"": ""Dafra"", ""modelo"": ""speed 150, kansas 150, comet 1"", ""tipo_produto"": ""carburador"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""linha""}","{""marca"": ""Dafra"", ""modelo"": ""speed 150, kansas 150, comet 1"", ""tipo_produto"": ""carburador"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""linha""}","carburador | Dafra | speed 150, kansas 150, comet 1 | linha"
"Soprador Radial 0,6cv","Soprador Radial 0,6cv",ELECTRIC_BLOWERS,"{""idx"": 38, ""marca"": null, ""modelo"": null, ""tipo_produto"": ""soprador"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""radial 0,6cv""}","{""marca"": null, ""modelo"": null, ""tipo_produto"": ""soprador"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""radial 0,6cv""}","soprador | radial 0,6cv"
